image,method,threshold,shrink,patch_size,sigma,mse,psnr
harrypotter_gray.png,local,hard,v,5,10,24.82,34.18
harrypotter_gray.png,local,hard,v,5,20,67.68,29.83
harrypotter_gray.png,local,hard,v,5,30,136.00,26.80
harrypotter_gray.png,local,hard,v,7,10,24.98,34.15
harrypotter_gray.png,local,hard,v,7,20,62.08,30.20
harrypotter_gray.png,local,hard,v,7,30,109.08,27.75
harrypotter_gray.png,local,hard,v,9,10,25.68,34.03
harrypotter_gray.png,local,hard,v,9,20,62.98,30.14
harrypotter_gray.png,local,hard,v,9,30,105.29,27.91
harrypotter_gray.png,local,hard,b,5,10,82.63,28.96
harrypotter_gray.png,local,hard,b,5,20,275.78,23.73
harrypotter_gray.png,local,hard,b,5,30,510.70,21.05
harrypotter_gray.png,local,hard,b,7,10,83.23,28.93
harrypotter_gray.png,local,hard,b,7,20,278.73,23.68
harrypotter_gray.png,local,hard,b,7,30,516.16,21.00
harrypotter_gray.png,local,hard,b,9,10,83.71,28.90
harrypotter_gray.png,local,hard,b,9,20,282.03,23.63
harrypotter_gray.png,local,hard,b,9,30,526.11,20.92
harrypotter_gray.png,local,soft,v,5,10,131.88,26.93
harrypotter_gray.png,local,soft,v,5,20,390.43,22.22
harrypotter_gray.png,local,soft,v,5,30,729.59,19.50
harrypotter_gray.png,local,soft,v,7,10,101.62,28.06
harrypotter_gray.png,local,soft,v,7,20,273.79,23.76
harrypotter_gray.png,local,soft,v,7,30,493.37,21.20
harrypotter_gray.png,local,soft,v,9,10,90.55,28.56
harrypotter_gray.png,local,soft,v,9,20,228.31,24.55
harrypotter_gray.png,local,soft,v,9,30,394.11,22.17
harrypotter_gray.png,local,soft,b,5,10,59.25,30.40
harrypotter_gray.png,local,soft,b,5,20,163.90,25.98
harrypotter_gray.png,local,soft,b,5,30,275.26,23.73
harrypotter_gray.png,local,soft,b,7,10,58.71,30.44
harrypotter_gray.png,local,soft,b,7,20,159.28,26.11
harrypotter_gray.png,local,soft,b,7,30,262.75,23.94
harrypotter_gray.png,local,soft,b,9,10,58.96,30.43
harrypotter_gray.png,local,soft,b,9,20,159.53,26.10
harrypotter_gray.png,local,soft,b,9,30,256.53,24.04
harrypotter_gray.png,global,hard,v,5,10,28.39,33.60
harrypotter_gray.png,global,hard,v,5,20,77.02,29.26
harrypotter_gray.png,global,hard,v,5,30,152.00,26.31
harrypotter_gray.png,global,hard,v,7,10,28.79,33.54
harrypotter_gray.png,global,hard,v,7,20,70.46,29.65
harrypotter_gray.png,global,hard,v,7,30,121.91,27.27
harrypotter_gray.png,global,hard,v,9,10,29.98,33.36
harrypotter_gray.png,global,hard,v,9,20,71.52,29.59
harrypotter_gray.png,global,hard,v,9,30,116.72,27.46
harrypotter_gray.png,global,hard,b,5,10,83.13,28.93
harrypotter_gray.png,global,hard,b,5,20,286.82,23.55
harrypotter_gray.png,global,hard,b,5,30,547.94,20.74
harrypotter_gray.png,global,hard,b,7,10,83.81,28.90
harrypotter_gray.png,global,hard,b,7,20,287.87,23.54
harrypotter_gray.png,global,hard,b,7,30,554.13,20.69
harrypotter_gray.png,global,hard,b,9,10,83.85,28.90
harrypotter_gray.png,global,hard,b,9,20,289.90,23.51
harrypotter_gray.png,global,hard,b,9,30,561.20,20.64
harrypotter_gray.png,global,soft,v,5,10,165.23,25.95
harrypotter_gray.png,global,soft,v,5,20,497.40,21.16
harrypotter_gray.png,global,soft,v,5,30,954.15,18.33
harrypotter_gray.png,global,soft,v,7,10,123.98,27.20
harrypotter_gray.png,global,soft,v,7,20,338.95,22.83
harrypotter_gray.png,global,soft,v,7,30,620.04,20.21
harrypotter_gray.png,global,soft,v,9,10,109.07,27.75
harrypotter_gray.png,global,soft,v,9,20,275.01,23.74
harrypotter_gray.png,global,soft,v,9,30,480.24,21.32
harrypotter_gray.png,global,soft,b,5,10,62.19,30.19
harrypotter_gray.png,global,soft,b,5,20,179.03,25.60
harrypotter_gray.png,global,soft,b,5,30,306.81,23.26
harrypotter_gray.png,global,soft,b,7,10,62.10,30.20
harrypotter_gray.png,global,soft,b,7,20,175.77,25.68
harrypotter_gray.png,global,soft,b,7,30,293.23,23.46
harrypotter_gray.png,global,soft,b,9,10,62.13,30.20
harrypotter_gray.png,global,soft,b,9,20,174.78,25.71
harrypotter_gray.png,global,soft,b,9,30,289.10,23.52
leclerc_gray.png,local,hard,v,5,10,96.55,28.28
leclerc_gray.png,local,hard,v,5,20,225.95,24.59
leclerc_gray.png,local,hard,v,5,30,343.93,22.77
leclerc_gray.png,local,hard,v,7,10,60.81,30.29
leclerc_gray.png,local,hard,v,7,20,162.36,26.03
leclerc_gray.png,local,hard,v,7,30,249.06,24.17
leclerc_gray.png,local,hard,v,9,10,52.40,30.94
leclerc_gray.png,local,hard,v,9,20,137.00,26.76
leclerc_gray.png,local,hard,v,9,30,219.86,24.71
leclerc_gray.png,local,hard,b,5,10,95.02,28.35
leclerc_gray.png,local,hard,b,5,20,304.14,23.30
leclerc_gray.png,local,hard,b,5,30,512.00,21.04
leclerc_gray.png,local,hard,b,7,10,95.17,28.35
leclerc_gray.png,local,hard,b,7,20,299.19,23.37
leclerc_gray.png,local,hard,b,7,30,497.05,21.17
leclerc_gray.png,local,hard,b,9,10,95.09,28.35
leclerc_gray.png,local,hard,b,9,20,299.89,23.36
leclerc_gray.png,local,hard,b,9,30,491.53,21.22
leclerc_gray.png,local,soft,v,5,10,248.74,24.17
leclerc_gray.png,local,soft,v,5,20,488.30,21.24
leclerc_gray.png,local,soft,v,5,30,708.79,19.63
leclerc_gray.png,local,soft,v,7,10,179.91,25.58
leclerc_gray.png,local,soft,v,7,20,373.71,22.41
leclerc_gray.png,local,soft,v,7,30,549.78,20.73
leclerc_gray.png,local,soft,v,9,10,151.47,26.33
leclerc_gray.png,local,soft,v,9,20,317.43,23.11
leclerc_gray.png,local,soft,v,9,30,464.61,21.46
leclerc_gray.png,local,soft,b,5,10,66.06,29.93
leclerc_gray.png,local,soft,b,5,20,177.96,25.63
leclerc_gray.png,local,soft,b,5,30,288.09,23.54
leclerc_gray.png,local,soft,b,7,10,61.91,30.21
leclerc_gray.png,local,soft,b,7,20,154.14,26.25
leclerc_gray.png,local,soft,b,7,30,244.85,24.24
leclerc_gray.png,local,soft,b,9,10,60.55,30.31
leclerc_gray.png,local,soft,b,9,20,145.23,26.51
leclerc_gray.png,local,soft,b,9,30,225.33,24.60
leclerc_gray.png,global,hard,v,5,10,122.67,27.24
leclerc_gray.png,global,hard,v,5,20,274.99,23.74
leclerc_gray.png,global,hard,v,5,30,466.82,21.44
leclerc_gray.png,global,hard,v,7,10,84.12,28.88
leclerc_gray.png,global,hard,v,7,20,201.17,25.10
leclerc_gray.png,global,hard,v,7,30,306.17,23.27
leclerc_gray.png,global,hard,v,9,10,69.09,29.74
leclerc_gray.png,global,hard,v,9,20,178.15,25.62
leclerc_gray.png,global,hard,v,9,30,265.47,23.89
leclerc_gray.png,global,hard,b,5,10,96.13,28.30
leclerc_gray.png,global,hard,b,5,20,318.11,23.10
leclerc_gray.png,global,hard,b,5,30,542.05,20.79
leclerc_gray.png,global,hard,b,7,10,96.26,28.30
leclerc_gray.png,global,hard,b,7,20,316.24,23.13
leclerc_gray.png,global,hard,b,7,30,532.21,20.87
leclerc_gray.png,global,hard,b,9,10,96.15,28.30
leclerc_gray.png,global,hard,b,9,20,317.90,23.11
leclerc_gray.png,global,hard,b,9,30,531.67,20.87
leclerc_gray.png,global,soft,v,5,10,305.66,23.28
leclerc_gray.png,global,soft,v,5,20,610.71,20.27
leclerc_gray.png,global,soft,v,5,30,871.04,18.73
leclerc_gray.png,global,soft,v,7,10,228.22,24.55
leclerc_gray.png,global,soft,v,7,20,463.30,21.47
leclerc_gray.png,global,soft,v,7,30,690.44,19.74
leclerc_gray.png,global,soft,v,9,10,192.12,25.30
leclerc_gray.png,global,soft,v,9,20,392.92,22.19
leclerc_gray.png,global,soft,v,9,30,578.86,20.51
leclerc_gray.png,global,soft,b,5,10,68.45,29.78
leclerc_gray.png,global,soft,b,5,20,185.49,25.45
leclerc_gray.png,global,soft,b,5,30,304.40,23.30
leclerc_gray.png,global,soft,b,7,10,65.03,30.00
leclerc_gray.png,global,soft,b,7,20,164.79,25.96
leclerc_gray.png,global,soft,b,7,30,258.53,24.01
leclerc_gray.png,global,soft,b,9,10,63.55,30.10
